kind,issuer,cusip,putcall,shares,share_chg,value,w_prev,w_cur,w_pp
NEW,WARNER BROS DISCOVERY INC,934423104,,20000000.0,,533200000.0,0.0,11.394204456461072,11.394204456461072
TRIM,AMAZON COM INC,023135106,,1750000.0,-9.793814432989691,417095000.0,19.39910805272621,8.913101477433665,-10.486006575292544
ADD,ALPHABET INC,02079K305,,1025000.0,485.71428571428567,366304250.0,2.4161274459287356,7.827729778264499,5.411602332335763
ADD,CRH PLC,G25508105,,2195000.0,15.526315789473685,234865000.0,9.589418407496662,5.018941916104144,-4.570476491392518
TRIM,TELEPHONE & DATA SYS INC,879433829,,6275000.0,-4.924242424242424,232237750.0,13.340722375966427,4.9627989610061745,-8.377923414960254
ADD,TAIWAN SEMICONDUCTOR MANUFAC,874039100,,460000.0,67.27272727272727,219682200.0,4.46209137664079,4.694493440069716,0.23240206342892655
ADD,LIVE NATION ENTERTAINMENT IN,538034109,,1135000.0,144.08602150537635,207829850.0,3.4049017845129472,4.441214934462934,1.036313149949987
NEW,KEYSIGHT TECHNOLOGIES INC,49338L103,,585000.0,,204790950.0,0.0,4.3762752346828515,4.3762752346828515
ADD,SOMNIGROUP INTERNATIONAL INC,88023U101,,2570769.0,13.211383456441409,201548290.0,8.059131251544319,4.3069812905290865,-3.752149961015232
NEW,BLOCK INC,852234103,,2558943.0,,194479668.0,0.0,4.155928544292329,4.155928544292329
ADD,NORFOLK SOUTHN CORP,655844108,,600000.0,500.0,188754000.0,1.377955561038784,4.033574020958089,2.6556184599193053
NEW,FLEX LTD,Y2573F102,,1030000.0,,166932100.0,0.0,3.56725145863917,3.56725145863917
ADD,CAPITAL ONE FINL CORP,14040H105,,825000.0,489.28571428571433,165511500.0,1.2262460146356358,3.536893981424525,2.3106479667888893
ADD,HUT 8 CORP,44812J104,,1315000.0,51.22538562473334,151810175.0,1.9584829575416458,3.2441038494394885,1.2856208918978427
TRIM,CARPENTER TECHNOLOGY CORP,144285103,,215000.0,-30.64516129032258,132620600.0,5.866465754664298,2.834032692307842,-3.032433062356456
ADD,API GROUP CORP,00187Y100,,2865000.0,41.13300492610838,121332750.0,3.9492878552815953,2.5928172557477067,-1.3564705995338886
TRIM,MASTEC INC,576323109,,290000.0,-9.375,120657400.0,4.943201920096092,2.578385380316966,-2.364816539779126
ADD,TRANSDIGM GROUP INC,893641100,,79000.0,216.0,105231160.0,1.3911109555936487,2.248734719112093,0.8576237635184445
ADD,DANAHER CORP DEL,235851102,,540000.0,2.857142857142857,102859200.0,4.779153189749148,2.198047177471907,-2.581106012277241
ADD,UNION PAC CORP,907818108,,350000.0,250.0,95200000.0,1.1648765791610791,2.0343740890005515,0.8694975098394724
NEW,TTM TECHNOLOGIES INC,87305R109,,505000.0,,94445100.0,0.0,2.018242271775903,2.018242271775903
NEW,PERFORMANCE FOOD GROUP CO,71377A103,,675000.0,,75458250.0,0.0,1.6125032416105658,1.6125032416105658
NEW,ALPHABET INC,02079K404,,1300000.0,,66157000.0,0.0,1.4137404055253098,1.4137404055253098
ADD,ASML HLDG NV,N07059210,,30000.0,150.0,59606160.0,0.7609944433533896,1.273752389168289,0.5127579458148993
NEW,SYSCO CORP,871829107,,580000.0,,48157226.0,0.0,1.0290946719805008,1.0290946719805008
NEW,ARES MANAGEMENT CORPORATION,03990B101,,375000.0,,41741250.0,0.0,0.891988628597629,0.891988628597629
NEW,SPACE EXPLORATION TECHN CORP,84615Q103,,180415.0,,30825707.0,0.0,0.6587291974361652,0.6587291974361652
NEW,STATE STR SPDR S&P 500 ETF T,78462F103,PUT,40000.0,,28800000.0,0.0,0.6154409008741164,0.6154409008741164
KEEP,STRATA CRITICAL MEDICAL INC,092667104,,5000000.0,0.0,26350000.0,1.0034589277251074,0.5630856853483669,-0.44037324237674047
NEW,ALPHABET INC,02079K602,,200000.0,,10060000.0,0.0,0.2149769257914448,0.2149769257914448
KEEP,ARS PHARMACEUTICALS INC,82835W108,,1000000.0,0.0,8010000.0,0.38553948275754124,0.17116950055561364,-0.2143699822019276
KEEP,AURORA INNOVATION INC,051774107,,1032463.0,0.0,7041398.0,0.2042326032006134,0.15047098362962508,-0.05376161957098832
NEW,RIOT PLATFORMS INC,767292AB1,,3500000.0,,7033950.0,0.0,0.15031182377442678,0.15031182377442678
KEEP,HERTZ GLOBAL HLDGS INC,42806J148,,3970000.0,0.0,4327300.0,0.4345889392438556,0.09247213230390847,-0.34211680693994717
KEEP,FLYEXCLUSIVE INC,343928107,,1022000.0,0.0,2044000.0,0.11089517485862369,0.04367920838148243,-0.06721596647714126
NEW,BAUSCH PLUS LOMB CORP,071705107,,85000.0,,1407600.0,0.0,0.03007967403022244,0.03007967403022244
NEW,CORE SCIENTIFIC INC NEW,21874A106,,54000.0,,1381860.0,0.0,0.0295296237250662,0.0295296237250662
NEW,EROCK INC,296013105,,83030.0,,1203935.0,0.0,0.025727459756731925,0.025727459756731925
NEW,APPLIED DIGITAL CORP,038169207,,22000.0,,820600.0,0.0,0.01753579177976736,0.01753579177976736
NEW,LITHIUM ARGENTINA AG,53680QAA6,,625000.0,,611750.0,0.0,0.013072776774643776,0.013072776774643776
KEEP,AURORA INNOVATION INC,051774115,,1835000.0,0.0,587384.0,0.017532443987690854,0.012552088129133401,-0.004980355858557453
NEW,WOLFSPEED INC,97785W106,,10000.0,,482500.0,0.0,0.010310772037213931,0.010310772037213931
KEEP,FLYEXCLUSIVE INC,343928115,,367499.0,0.0,77175.0,0.004234692699777725,0.001649189289061109,-0.0025855034107166164
EXIT,BROADCOM INC,11135F101,,0.0,-100.0,0.0,0.7430157242109999,0.0,-0.7430157242109999
